,Unnamed: 0,occurrence_id,gbif_id,occurrence_type,basis_of_record,event_date,decimal_latitude,decimal_longitude,dataset_key,has_geospatial_issues,label,taxonvariant_id,back_key,species,dec_lat,dec_lon,coordinates,lonlat,in_dist_polygon,year,month
414,424157,1257410,1425109258,,HUMAN_OBSERVATION,2013-01-17 00:00:00+00:00,11.23008,1.88688,6a01a01f-10a9-49bc-b0d1-2bd04493dc20,0,Kobus kob,106218,5220161,Kobus kob,5,5,POINT (1.88688 11.23008),"(1.88688, 11.23008)",True,2013,1
415,424158,1257411,1425109259,,HUMAN_OBSERVATION,2013-01-22 00:00:00+00:00,11.38605,1.61251,6a01a01f-10a9-49bc-b0d1-2bd04493dc20,0,Kobus kob,106218,5220161,Kobus kob,5,5,POINT (1.61251 11.38605),"(1.61251, 11.38605)",True,2013,1
416,424159,1257412,1425109260,,HUMAN_OBSERVATION,2013-01-27 00:00:00+00:00,11.34252,1.61288,6a01a01f-10a9-49bc-b0d1-2bd04493dc20,0,Kobus kob,106218,5220161,Kobus kob,5,5,POINT (1.61288 11.34252),"(1.61288, 11.34252)",True,2013,1
417,424160,1257413,1425109261,,HUMAN_OBSERVATION,2013-01-21 00:00:00+00:00,11.20082,1.50856,6a01a01f-10a9-49bc-b0d1-2bd04493dc20,0,Kobus kob,106218,5220161,Kobus kob,5,5,POINT (1.50856 11.20082),"(1.50856, 11.20082)",True,2013,1
418,424214,1257467,1425109338,,HUMAN_OBSERVATION,2013-03-30 00:00:00+00:00,11.39814,1.60009,6a01a01f-10a9-49bc-b0d1-2bd04493dc20,0,Kobus kob,106218,5220161,Kobus kob,5,5,POINT (1.60009 11.39814),"(1.60009, 11.39814)",True,2013,3
419,424215,1257468,1425109339,,HUMAN_OBSERVATION,2013-03-30 00:00:00+00:00,11.38531,1.61031,6a01a01f-10a9-49bc-b0d1-2bd04493dc20,0,Kobus kob,106218,5220161,Kobus kob,5,5,POINT (1.61031 11.38531),"(1.61031, 11.38531)",True,2013,3
420,424216,1257469,1425109340,,HUMAN_OBSERVATION,2013-03-30 00:00:00+00:00,11.39109,1.60414,6a01a01f-10a9-49bc-b0d1-2bd04493dc20,0,Kobus kob,106218,5220161,Kobus kob,5,5,POINT (1.60414 11.39109),"(1.60414, 11.39109)",True,2013,3
421,424217,1257470,1425109341,,HUMAN_OBSERVATION,2013-04-03 00:00:00+00:00,11.40539,1.73899,6a01a01f-10a9-49bc-b0d1-2bd04493dc20,0,Kobus kob,106218,5220161,Kobus kob,5,5,POINT (1.73899 11.40539),"(1.73899, 11.40539)",True,2013,4
422,424218,1257471,1425109342,,HUMAN_OBSERVATION,2013-04-03 00:00:00+00:00,11.39619,1.74216,6a01a01f-10a9-49bc-b0d1-2bd04493dc20,0,Kobus kob,106218,5220161,Kobus kob,5,5,POINT (1.74216 11.39619),"(1.74216, 11.39619)",True,2013,4
423,424219,1257472,1425109343,,HUMAN_OBSERVATION,2013-03-29 00:00:00+00:00,11.45594,1.48087,6a01a01f-10a9-49bc-b0d1-2bd04493dc20,0,Kobus kob,106218,5220161,Kobus kob,5,5,POINT (1.48087 11.45594),"(1.48087, 11.45594)",True,2013,3
